sample,model,sim,nsim,inner,outer,fiber,master_fiber_index,fiberset_index,waveform_index,active_src_index,nerve_label,threshold,apnode,aptime,long_ap_pos,n_ap_sites,peak_second_diff,peak_second_diff_node,peri_thk,type,contact,pulse_width,fiber_diam
252,0,3,0,4,3,59,166,0,0,0,2L,2.642104,102,1.526,28713.648273950774,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,5,3,51,167,0,0,0,2L,3.101767,103,1.477,29065.531381636763,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,52,168,0,0,0,2L,3.19679,103,1.507,28980.611206331665,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,53,169,0,0,0,2L,3.223683,103,1.438,29049.92589700947,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,54,170,0,0,0,2L,3.183344,103,1.425,29062.966354690318,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,55,171,0,0,0,2L,3.223683,102,1.455,28916.775886530784,0,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,56,172,0,0,0,2L,3.210237,103,1.529,29078.65697163642,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,57,173,0,0,0,2L,3.19679,103,1.435,29007.02854826467,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,58,174,0,0,0,2L,3.210237,103,1.466,28981.218597883264,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,59,175,0,0,0,2L,3.210237,102,1.441,28955.835206712265,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,60,176,0,0,0,2L,3.156451,103,1.463,29188.66402777915,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,61,177,0,0,0,2L,3.183344,103,1.459,28985.473473035923,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,4,3,60,178,0,0,0,2L,2.70874,102,1.48,28880.025938987077,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,61,179,0,0,0,2L,2.664316,102,1.422,28741.924736474444,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,62,180,0,0,0,2L,2.675422,102,1.465,28815.98524001212,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,63,181,0,0,0,2L,2.697634,102,1.433,28785.701056365277,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,64,182,0,0,0,2L,2.719846,102,1.441,28734.722070363085,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,65,183,0,0,0,2L,2.65321,102,1.439,28702.486870260273,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,66,184,0,0,0,2L,2.593742,102,1.444,28759.07045348353,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,67,185,0,0,0,2L,2.58365,102,1.496,28878.96067148436,1,,,33.09198593229701,2D,cathodic,,
